Nombre,Resumen,Tipo de entidad,Categorías,Dirección (calle y nº),Dirección (resto),Dirección sin cp,C.P.,Dirección,Población,Provincia,Zona,Comunidad autónoma,Barrio,Distrito,Comarca,Ámbito,Latitud,Longitud,Teléfono 1,Teléfono 2,Fax,Correo electrónico 1,Correo electrónico 2,Web 1,Web 2,Año de creación,Forma jurídica,Descripción general,Objetivo como entidad,Finanzas,Valores sociales y medioambientales,Forma de acceso,Redes de las que forma parte,Otras entidades con las que colabora,Proyectos en marcha,Necesidades,Ofrecimientos,Información adicional,Fecha última actualización
Banco de Tiempo de Valladolid,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ San Sebastián, 7",,"C/ San Sebastián, 7 ",47009,"C/ San Sebastián, 7 47009",Valladolid,Valladolid,,Castilla y León,,,,,41.663629,-4.7319972,983 424 201,,,info@bancodeltiempodevalladolid.org.es,,,,,,,,,,,,,,,,,2013-06-07 20:11:52
Banco de Tiempo de Vélez,,Grupo/colectivo,Banco de tiempo - Municipal,"C/Pescadería Vieja, 11 bjo.",,"C/Pescadería Vieja, 11 bjo. ",,"C/Pescadería Vieja, 11 bjo. ",Vélez Málaga,Málaga,,Andalucía,,,,,36.7829139,-4.1027903,952 506 057,,,voluntariado@ayto-velezmalaga.es,,,,,,,,,,,,,,,,,2013-06-07 20:11:17
Banco de Tiempo de Vigo - Valladares,,Grupo/colectivo,Banco de tiempo - Municipal,"Estrada Xeral de Valladares, 261",,"Estrada Xeral de Valladares, 261 ",36315,"Estrada Xeral de Valladares, 261 36315",Vigo,Pontevedra,,Galicia,,,,,42.1832582,-8.7426101,986 467 053,,,cvallada@ctv.es,bancodeltiempocvcvalladares@telefonica.net,,,,,,,,,,,,,,,,2013-06-07 20:12:23
Banco de Tiempo de Vilafant,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de Figueres, 9",,"C/ de Figueres, 9 ",17740,"C/ de Figueres, 9 17740",Vilafant,Girona,,Cataluña,,,,,42.2468729,2.9381634,972 546 632,,,btvilafant@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:12:27
Banco de Tiempo de Villamayor,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Villamayor,Salamanca,,Castilla y León,,,,,41.0016627,-5.6937933,,,,bdtempresariosdevillamayor@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:12:38
Banco de Tiempo de Villanueva del Río y Minas,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Juan Gómez Torga, 12",,"C/ Juan Gómez Torga, 12 ",41350,"C/ Juan Gómez Torga, 12 41350",Villanueva del Río y Minas,Sevilla,,Andalucía,,,,,37.6554687,-5.7122139,617 689 478,,,asiminera@hotmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:12:41
Banco de Tiempo de Villares de la Reina,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Villares de la Reina,Salamanca,,Castilla y León,,,,,41.01053,-5.648107,,,,juansantanadesalamanca@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:12:52
Banco de Tiempo de Vitoria-Gasteiz,,Grupo/colectivo,Banco de tiempo - Municipal,"Edificio Rogelia de Álvaro C, 1ª pl. - C/ Panamá s/n",,"Edificio Rogelia de Álvaro C, 1ª pl. - C/ Panamá s/n ",01012,"Edificio Rogelia de Álvaro C, 1ª pl. - C/ Panamá s/n 01012",Vitoria-Gasteiz,Álava,,País Vasco,,,,,42.8498032,-2.6729997,945 122 814,,,bancodeltiempotrueque@hotmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:12:59
Banco de Tiempo de Zafarraya,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Zafarraya,Granada,,Andalucía,,,,,36.9994992,-4.1616143,,,,,,,,,,,,,,,,,,,,,2013-06-07 20:13:12
Banco de Tiempo de Zamora,"Somos un BDT de iniciativa ciudadana, no dependemos ni tenemos nada que ver con el ayuntamiento ",Asociación,Banco de tiempo - Comunitario,Plaza de Sta. Ana s/n,Palacio la Alhondiga,Palacio la Alhondiga - Plaza de Sta. Ana s/n,49006,Palacio la Alhondiga - Plaza de Sta. Ana s/n 49006,Zamora,Zamora,Centro - Casco antiguo,Castilla y León,Centro - Casco antiguo,,,Barrio,41.5072662,-5.7459823,633 162 197,,,bancodeltiempozamora@gmail.com,,http://bancodeltiempozamora.blogspot.com/,,2010,,"Banco del tiempo Zamora es una iniciativa ciudadana, no dependemos del ayuntamiento (ni queremos tener nada que ver ...). También estamos fuera de Zamora , en pueblos cercanos. 

",,,,Atendemos al público los Jueves de 18.00 - 21.00,,,,,,,2013-06-17 12:31:25
Banco de Tiempo de Zaragoza (Secretaría),,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Sant Vicente Paúl, 2",,"C/ Sant Vicente Paúl, 2 ",50001,"C/ Sant Vicente Paúl, 2 50001",Zaragoza,Zaragoza,,Aragón,,,,,41.6508693,-0.8770841,976 393 305,,,,,,,,,,,,,,,,,,,,2013-06-07 20:13:20
Banco de Tiempo de Zaragoza A.VV. Arrabal,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Mariano Pano  y Ruata, 9-11 bjos.",,"C/ Mariano Pano  y Ruata, 9-11 bjos. ",50015,"C/ Mariano Pano y Ruata, 9-11 bjos. 50015",Zaragoza,Zaragoza,,Aragón,,,,,41.692694,-0.8627473,976 061 824,,,arrabal@fabz.org,,,,,,,,,,,,,,,,,2013-06-07 20:13:23
Banco de Tiempo de Zaragoza A.VV. La Cartuja,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Salduba, 8",,"C/ Salduba, 8 ",05003,"C/ Salduba, 8 05003",Alcaldía de la Cartuja,Zaragoza,,Aragón,,,,,40.38,-3.86,,,,,,,,,,,,,,,,,,,,,2013-06-07 20:14:00
Banco de Tiempo de Zaragoza A.VV. La Jota,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de María Pilar de las Heras Dopereiro, 3",,"C/ de María Pilar de las Heras Dopereiro, 3 ",50001,"C/ de María Pilar de las Heras Dopereiro, 3 50001",Zaragoza,Zaragoza,,Aragón,,,,,41.6596276,-0.8621879,976 293 925,,,lajota@fabz.org,,,,,,,,,,,,,,,,,2013-06-07 20:14:06
Banco de Tiempo de Zaragoza A.VV. Las Fuentes,,Grupo/colectivo,Banco de tiempo - Municipal,"c/ Fray Luis Urbano, 27 - local 2",,"c/ Fray Luis Urbano, 27 - local 2 ",50002,"c/ Fray Luis Urbano, 27 - local 2 50002",Zaragoza,Zaragoza,,Aragón,,,,,41.6429234,-0.8532168,976 423 104,,,lasfuentes@fabz.org,,,,,,,,,,,,,,,,,2013-06-07 20:14:12
Banco de Tiempo de Zaragoza A.VV. Picarral,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Camino Juslibol, 36",,"C/ Camino Juslibol, 36 ",50015,"C/ Camino Juslibol, 36 50015",Zaragoza,Zaragoza,,Aragón,,,,,41.6713488,-0.8759211,976 731 300,,,picarral@fabz.org,,,,,,,,,,,,,,,,,2013-06-07 20:14:08
Banco de Tiempo del Bajo Deba,,Grupo/colectivo,Banco de tiempo - Municipal,C/ del Marqués de Valdespina,,C/ del Marqués de Valdespina ,48260,C/ del Marqués de Valdespina 48260,Ermua,Vizcaya,,País Vasco,,,,,43.1861263,-2.503011,943 179 919 / 695 777 986,,,bancodeltiempo@auzopolis.net,,,,,,,,,,,,,,,,,2013-06-07 20:14:19
Banco de Tiempo del Cercle Matern,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Forners, 38 bjos",Casal de la dona,"Casal de la dona - C/ Forners, 38 bjos",07006,"Casal de la dona - C/ Forners, 38 bjos 07006",Palma De Mallorca,Baleares,,Islas Baleares,,,,,39.5686457,2.6615947,670 478 434,,,bancodetiempo@circulomaterno.org,,,,,,,,,,,,,,,,,2013-06-10 00:04:36
Banco de Tiempo del Mercado Ecológico,,Grupo/colectivo,Banco de tiempo - Municipal,Pl. Bisbe Berenguer de Palou,,Pl. Bisbe Berenguer de Palou ,07003,Pl. Bisbe Berenguer de Palou 07003,Palma De Mallorca,Baleares,,Islas Baleares,,,,,39.5760043,2.6492129,971 603 193 / 670 478 434,,,bdtmercadoecologico@gmail.com,,,,,,,,,,,,,,,,,2013-06-10 00:06:52
Banco de Tiempo del Raval,Entre todos nos ayudamos,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Sant Pau, 75-4-1",ibN Batuta ,"C/ Sant Pau, 75-4-1 ibN Batuta",08001,"C/ Sant Pau, 75-4-1 ibN Batuta 08001",Barcelona,Barcelona,Raval,Cataluña,Raval,,,Barrio,41.3779502,2.1708841,934410406,,,lolicatalana@hotmail.com,,,,,,,,,,,,,,,,,2013-10-28 09:14:57
Banco de Tiempo del Valle de Egües,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de Urbasa, 129",,"C/ de Urbasa, 129 ",31486,"C/ de Urbasa, 129 31486",Egües,Navarra,,Comunidad Foral de Navarra,,,,,42.8108214,-1.5880268,948 165 651,,,btiempcaf@egues.es,,,,,,,,,,,,,,,,,2013-06-07 20:14:41
Banco de Tiempo del Valle de Egüés,,Otros,Banco de tiempo - Municipal,C/ Urbasa 129,,C/ Urbasa 129 ,31621,C/ Urbasa 129 31621,Sarriguren,Navarra,Valle de Egüés,Comunidad Foral de Navarra,,,Valle de Egüés,Comarca,42.8108214,-1.5880268,948165651,,,,,,,2011,,,,,,,,,,,,,2014-03-05 10:51:53
Banco de Tiempo Dharma,"Banco del Tiempo Dharma, donde la utopía se hace realidad.",Asociación,Banco de tiempo - Municipal,C/ La Perdiu 1,,C/ La Perdiu 1 ,08184,C/ La Perdiu 1 08184,Palau-Solità i Plegamans,Barcelona,Palau-Solità i Plegamans,Cataluña,,,,Municipio,41.6017833,2.1852593,938644228,,,nuevatierraassoc@yahoo.es,,http://www.nuevatierra.org/bdt,http://www.nuevatierra.org/,2014,,,,,,,,,,,,,2014-01-28 09:49:14
Banco de Tiempo Ecolocal,,Grupo/colectivo,Banco de tiempo - Comunitario,"""La Rendija"" C/ San Hermenegildo 1",,"""La Rendija"" C/ San Hermenegildo 1 ",41003,"""La Rendija"" C/ San Hermenegildo 1 41003",Sevilla,Sevilla,,Andalucía,,,,,37.3983421,-5.9837626,,,,bdtecolocal@gmail.com,,http://ecolocal.es/banco_del_tiempo.html,,2007,,,,,,,,,,,,,2015-06-08 19:17:23
Banco de Tiempo El Dam de Ahesat,,Asociación,Banco de tiempo - Municipal,,, ,43820, 43820,Calafell,Tarragona,Baix Penedés,Cataluña,,,Baix Penedés,Comarca,41.1938386,1.5664556,686265212,,,dam.ahesat.org@gmail.com,ahesat@gmail.com,http://www.eldamdeahesat.blogspot.com/,http://www.ahesat.blogspot.com/,2014,,,,,,,,,,,,,2014-10-28 13:18:39
Banco de Tiempo Entrehoras Retiro,,Asamblea,Banco de tiempo - Comunitario,,, ,, ,Madrid,Madrid,Retiro,Comunidad de Madrid,,Retiro,,Distrito,40.406373,-3.682017,,,,bancodetiempo.asamblearetiro@gmail.com,,http://bancodetiemporetiro.wordpress.com/,,2012,,"Cambio una hora cuidando a tus hijos, por una hora de clases de cocina”. El banco de tiempo es un instrumento de desarrollo comunitario y cohesión social, a partir de un sistema de intercambio de servicios.  Por ejemplo, una persona mayor necesita compañía porque se encuentra sola y esa misma persona ofrece su tiempo para enseñar a coser botones a un chico joven que lo necesita.

La unidad de pago es la hora y una hora siempre es a cambio de otra hora, independientemente de los servicios y actividades que tu ofrezcas o demandes, es decir, vale lo mismo clases de informática, de inglés o un trabajo de fontanería.

Un banco de tiempo no es solamente un sistema de trueque por el cual los usuarios pueden ofrecer o demandar servicios o actividades sin que intervenga el dinero. Es también una  demostración de que es posible construir redes de apoyo mutuo y sistemas alternativos para afrontar las necesidades cotidianas, más allá de la riqueza monetaria que se posea individualmente.

Un banco de tiempo genera vínculos entre las personas y combate el individualismo y el aislamiento imperantes en nuestra sociedad. Es un sistema de creación de tejido social en el barrio, fomentando la relación entre los vecinos actualmente casi desaparecida. Esta crisis a unos niveles nos está perjudicando, pero a otros nos está humanizando y acercando.

En el marco del 15M, el banco de tiempo  tiene como finalidad incrementar la cooperación entre los ciudadanos y hacer crecer nuestro movimiento.",,,,,,,,,,,2013-06-19 11:14:43
Banco de Tiempo Entrevecinos de Valencia,,Asociación,Banco de tiempo - Comunitario,"Avenida Doctor Tomás Sala, nº 47 bajo",,"Avenida Doctor Tomás Sala, nº 47 bajo ",46017,"Avenida Doctor Tomás Sala, nº 47 bajo 46017",Valencia,Valencia,Valencia,Comunidad Valenciana,,,,,39.4475104,-0.3866238,655253502,963 10 71 24,,franbancotiempoentrevecinos@gmail.com,amigotesdelbancodeltiempo@gmail.com,http://bdte.hol.es/,,2013,,"Banco del tiempo ""entrevecinos""

La inscripcion la realizó uno de los socios,yo como adminstrador solamente corrijo algunos de los datos que estan erroneos o incompletos.
Es un banco del tiempo que no pertenece al ayuntamiento sino esta integrado en un proyecto solidario  de la Confederación de Asociaciones de la Comunidad de Valencia(CAVECOVA).
Saludos
Elías Sánchez",,,,,,,,,,,2014-10-29 16:57:40
Banco de Tiempo Escolares,,Grupo/colectivo,Banco de tiempo - Municipal,"Av. Fernández Ladreda, 48",,"Av. Fernández Ladreda, 48 ",33011,"Av. Fernández Ladreda, 48 33011",Oviedo,Asturias,,Principado de Asturias,,,,,43.3707337,-5.8330566,985 217 295,,,nuevasfamilias@yahoo.es,,,,,,,,,,,,,,,,,2013-06-07 20:14:47
Banco de Tiempo Fuengirola Mijas,,Asociación,Banco de tiempo - Comunitario,"Calle Rio Lanjaron, numero 14",Teteria Las Mil y Una Noches,"Teteria Las Mil y Una Noches - Calle Rio Lanjaron, numero 14",29651,"Teteria Las Mil y Una Noches - Calle Rio Lanjaron, numero 14 29651",Mijas,Malaga,Fuengirola y Mijas,Andalucía,,,,Municipio,36.5425472,-4.6371238,637526119,,,raquelmelgargarcia@gmail.com,,,,2013,,tenemos un blog: bdtfuengirola.wordpress.com,,,,,,,,,,,2013-10-15 17:55:10
Banco de Tiempo Inguralde,,Grupo/colectivo,Banco de tiempo - Municipal,Pº Dolores Ibarruri s/n,,Pº Dolores Ibarruri s/n ,48901,Pº Dolores Ibarruri s/n 48901,Barakaldo,Vizcaya,,País Vasco,,,,,43.2998368,-2.9893729,944 189 044,,,inforempleo@inguralde.com,,,,,,,,,,,,,,,,,2013-06-07 20:14:52
Banco de Tiempo Jacetania,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de Campoy Irigoyen, 4  - local",,"C/ de Campoy Irigoyen, 4  - local ",22700,"C/ de Campoy Irigoyen, 4 - local 22700",Jaca,Huesca,,Aragón,,,,,40.38,-3.86,675 988 738 / 659 113 833,,,btjacetania@ademup.org,,,,,,,,,,,,,,,,,2013-06-07 20:15:45
Banco de Tiempo Joven de la Comarca Filabres-Alhamilla,,Grupo/colectivo,Banco de tiempo - Municipal,"Glorieta de las Angustias, s/n",,"Glorieta de las Angustias, s/n ",04200,"Glorieta de las Angustias, s/n 04200",Tabernas,Almería,,Andalucía,,,,,40.38,-3.86,950 365 031,,,juventudfilabresalhamilla@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:15:49
Banco de Tiempo La Bordeta,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Hospital de la Bordeta, 14",,"C/ Hospital de la Bordeta, 14 ",25001,"C/ Hospital de la Bordeta, 14 25001",Lleida,Lleida,,Cataluña,,,,,41.6175899,0.6200146,,,,marisagarciahorcajada@hotmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:15:53
Banco de Tiempo La Roca Del Valles,,Grupo/colectivo,Banco de tiempo - Comunitario,c/Espronceda ,Nº 65 piso3º puerta 5ª,c/Espronceda  Nº 65 piso3º puerta 5ª,08430,c/Espronceda Nº 65 piso3º puerta 5ª 08430,La Roca Del Valles,Barcelona,,Cataluña,,,,,41.5865477,2.3265984,647470738,,,olgaperez1973@hotmail.com,,,,2013,,"Un banco de tiempo es un sistema de intercambio de servicios por tiempo. 
En el Banco del Tiempo la unidad de intercambio no es el dinero habitual sino una medida de tiempo, en nuestro caso el trabajo por hora. 
Es un sistema de intercambio de servicios por servicios. Propone la ventaja de fomentar las relaciones sociales y la igualdad entre distintos estratos económicos. 
En él el tiempo de cada participante se valora por igual, ya sea que él/ella es un principiante o un experto ampliamente capacitado y es además una herramienta para revitalizar la vida de la comunidad.
La salud de las comunidades depende de la creencia de que las acciones del presente tienen gran significado para el futuro. La más efectiva y eficiente forma de construir capital social es generando reciprocidad de un modo más amplio. De este modo, la confianza y los compromisos cívicos se reproducen automáticamente.
Ejercicio físico 
•	Clases (gimnasia, baile, taichi, fútbol) 
•	Entretenimiento o monitorización (partidos de fútbol, ir a correr…)
•	Arbitraje de partidos
Ocio 
•	Preparación de fiestas 
•	Interpretación en eventos o fiestas 
•	Juegos de mesa 
•	Danzas
•	Capoeira
•	Paseos en bici
•	Excursiones al monte
•	Malabares
Idiomas 
•	Clases de idiomas 
•	Conversación en idiomas 
•	Traducciones 
•	Interprete de idiomas 
Informática 
•	Clases de informática 
•	Instalar software 
•	Reparación y montaje de ordenadores 
•	Pasar textos a ordenador 
•	Montajes fotográficos o videos 
Belleza 
•	Maquillaje 
•	Peluquería 
Bricolaje 
•	Asesoramiento sobre ahorro de energía 
•	Reparaciones de bicis, motos, coches 
Arte 
•	Asesoramiento sobre decoración 
•	Teatro 
•	Pintura y dibujo 
•	Costura 
Cocina 
•	Clases de cocina (tradicional, vegetariana, étnica...) 
•	Asesoramiento sobre menús y preparación de recetas 
•	Elaboración de comidas (pan, tartas, mermeladas, conservas) 
•	Elaboración de comidas para cumpleaños y fiestas 
Asesoría y orientación 
•	Asesoramiento para preparación de eventos 
•	Asesoramiento en viajes (vacaciones, estudios, negocios...) 
•	Asesoramiento para redactar el curriculum vitae 
•	Asesoramiento legal 
•	Mediación en conflictos 
•	Asesoramiento y orientación sobre recursos sociales existentes en La Roca Del Valles
Atención a personas 
•	Lecturas, cuentacuentos 
•	Hacer recados 
•	Apoyo en mudanzas 
•	Escuchar
Banco del Tiempo de La Roca Del Valles 

Responsabilidad: 
EL Banco del Tiempo de La Roca Del Valles solo refiere los usuarios que dicen poder ofrecer un servicio. EL Banco del Tiempo de La Roca  no puede asegurar el rendimiento de ninguno de los usuarios del Banco del Tiempo por lo que nunca será el Banco del Tiempo de La Roca  responsable por ninguna lesión o daño a la propiedad experimentados durante las transacciones.
EL Banco del Tiempo de La Roca ofrece en su herramienta informática formas de conocer las experiencias que todos los usuarios han tenido mientras ofrecían servicios a otros usuarios del banco del tiempo.  

Limitaciones: 
Los servicios no están garantizados y puede haber situaciones cuando un proveedor de un servicio no llena las expectativas del que lo recibe. Pedimos la apreciación del esfuerzo que cada uno pone y esto es lo que hace que el Banco del Tiempo funcione.
Si hubiera un problema real con el servicio recibido el Banco del Tiempo de La Roca ofrece en su herramienta informática formas de conocer las experiencias que todos los usuarios han tenido mientras ofrecían servicios a otros usuarios del banco del tiempo. El Banco de Tiempo de La Roca  mediará dentro de sus capacidades en los conflictos entre usuarios que no se hayan podido arreglar y sus decisiones siempre serán finales y sin posibilidad de apelación. Si hubiera acciones irregulares el Banco del Tiempo de La Roca  podrá sancionar a los usuarios, desde obligarles a devolver el crédito obtenido hasta la expulsión del sistema. 

 Confidencialidad y privacidad: 
Uno de los criterios en los que se basa el Banco de Tiempo es en la confianza mutua. Todos los usuarios deben proteger la privacidad y confidencialidad de los otros usuarios. Un usuario puede llegar a ser expulsado de la comunidad por este motivo. La única excepción para compartir información es cuando un usuario sienta que la salud o seguridad de otro usuario está en peligro. 

 QUE HACER CUANDO QUIERE RECIBIR UN SERVICIO 
Para poder dar o recibir un servicio tiene que estar registrado en el Banco de Tiempo de La Roca y haber pasado un proceso de verificación.
Póngase en contacto con el Banco de Tiempo tan pronto como le sea posible y acuerde un lugar fecha para recibir el servicio seleccionado. Si deja un mensaje y el usuario no responde en unos días inténtelo de nuevo y si aún no lo logra contacte con el administrador. Olga Pérez Alcaide tel:647470738

QUE HACER Y QUE NO HACER 

Que hacer:   
- Asegúrese de que la otra persona entiende lo que va  hacer antes de que empiece a hacerlo 
- Contacte con el usuario por adelantado si no puede llegar a tiempo a ofrecer el servicio o si debe cancelarlo. 
- El recibidor del servicio se compromete a realizar el pago estipulado lo antes posible 
- Sea paciente y abierto más que crítico. Estamos para compartir y el hecho de aprender a conocernos ya es mucho. 
- Respete los demás, ya sea por religión creencias o pertenencia política. 
- Si solicita un servicio asegúrese de pagar por todos los materiales, partes o ingredientes necesarios. 

Que no hacer: 
- No fume en el lugar de otros usuarios sin su consentimiento. 
- Nunca acepte dinero ni propinas. 
- No use alcohol ni drogas mientras ofrece los servicios. (En el caso de ocurrir, será razón para la expulsión automática) 
- No compre alcohol ni tabaco a otros usuarios. 
  
Banco del Tiempo de La Roca Del Valles

",,,,,,,,,,,2013-12-19 11:22:42
Banco de Tiempo Lebrija,,Otros,Banco de tiempo - Municipal,"Barriada Blas Infante, s/n.",Centro Cívico Blas Infante,"Centro Cívico Blas Infante - Barriada Blas Infante, s/n.",41740,"Centro Cívico Blas Infante - Barriada Blas Infante, s/n. 41740",Lebrija,Sevilla,,Andalucía,,,,,36.9246665,-6.083178,,,,bancodeltimpolebrija@gmail.com,,,,2013,,En el Banco Del Tiempo Lebrija es una comunidad donde puedes intercambiar servicios con otros usuarios de la localidad usando el tiempo como moneda de cambio,,,,,,,,,,,2014-02-12 07:42:05
Banco de Tiempo Mancomunidad Madrid Sureste,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de Luís de Requesens, 2",,"C/ de Luís de Requesens, 2 ",25890,"C/ de Luís de Requesens, 2 25890",Villarejo De Salvanés,Madrid,,Comunidad de Madrid,,,,,40.1678741,-3.2765033,913 677 655 / 918 744 379,,,,,,,,,,,,,,,,,,,,2013-06-07 20:15:56
Banco de Tiempo Mataró,Banco del Tiempo de Mataró y cercanías,Asociación,Banco de tiempo - Municipal,"Sant Pelegri, 3",,"Sant Pelegri, 3 ",08301,"Sant Pelegri, 3 08301",Mataró,Barcelona,,Cataluña,,,,,41.5400816,2.4493299,93 7419160,,,,,http://www.bancdeltempsmataro.org/,,2006,,Banco del Tiempo de Mataró,,,,,,,,,,,2015-05-27 12:30:54
Banco de Tiempo Municipal de Leganés,,Otros,Banco de tiempo - Municipal,"C/ Del Charco ,23",1ª planta,"C/ Del Charco ,23 1ª planta",28911,"C/ Del Charco ,23 1ª planta 28911",Leganés,Madrid,,Comunidad de Madrid,,,,,40.3288472,-3.7686115,650936493,650936493,,,,http://www.bancodeltiempoleganes.org/,,2013,,"Banco del Tiempo municipal de Leganés, actualmente gestionado por la asociación Aibe Balcan",,,,,,,,,,,2015-04-20 19:20:11
Banco de Tiempo Musutruk - Ibarrekolanda,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Errondoko, 2",,"C/ Errondoko, 2 ",48015,"C/ Errondoko, 2 48015",Bilbao,Vizcaya,,País Vasco,,,,,43.2773531,-2.958716,665 474 215,,,musutruk07@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:16:00
Banco de Tiempo Nervión - San Pablo - Santa Justa,Tiempo para dar; tiempo para recibir,Centro social,Banco de tiempo - Municipal,"Avenida Pedro Romero, s/n",,"Avenida Pedro Romero, s/n ",41007,"Avenida Pedro Romero, s/n 41007",Sevilla,Sevilla,,Andalucía,,,,,,,955473126,609904728,,bdtnervionsanpablo@sevilla.org,,,,2010,,"Además de los intercambios, el Banco del Tiempo Nervión - San Pablo - Santa Justa realiza actividades a nivel grupal, como reuniones de confianza, salidas de ocio y tiempo libre, desayunos y meriendas colectivas, Mercadillos del trueque, ...

Para más información, este es nuestro vídeo promocional
http://www.youtube.com/watch?v=x9SpiEaEPcU",,,,,,,,,,,2014-03-31 09:35:33
Banco de Tiempo Ovida,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Lena, 5",,"C/ Lena, 5 ",33006,"C/ Lena, 5 33006",Oviedo,Asturias,,Principado de Asturias,,,,,43.3519679,-5.8676691,902 350 902,,,info@ovida.es,,,,,,,,,,,,,,,,,2013-06-07 20:16:05
Banco de Tiempo Pont del Dimoni,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Santa Eugènia, 146",,"C/ Santa Eugènia, 146 ",17006,"C/ Santa Eugènia, 146 17006",Girona,Girona,,Cataluña,,,,,41.9776281,2.8072941,972 237 063,,,bdtpontdeldimoni@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:16:08
Banco de Tiempo R-ciclo,,Grupo/colectivo,Banco de tiempo - Municipal,C/ del Ave María,,C/ del Ave María ,18009,C/ del Ave María 18009,Granada,Granada,,Andalucía,,,,,37.1705616,-3.5909801,,,,bancodeltiempor.ciclo@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:16:11
Banco de Tiempo Ribagorza Central,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ San Sebastián, 17, Campo",,"C/ San Sebastián, 17, Campo ",22450,"C/ San Sebastián, 17, Campo 22450",Campo,Huesca,,Aragón,,,,,42.4097942,0.3998579,974 550 114 / 679 197 632,,,ccastancampo@hotmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:16:14
Banco de Tiempo Ribagorza Oriental,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Mayor, 4 - Casa Farré",,"C/ Mayor, 4 - Casa Farré ",22580,"C/ Mayor, 4 - Casa Farré 22580",Benabarre,Huesca,,Aragón,,,,,42.1087048,0.4803197,600 520 466,,,budaloke@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:16:18
Banco de Tiempo San Cristóbal de Los Ángeles,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. de los Pinazos, 6",,"Pl. de los Pinazos, 6 ",28021,"Pl. de los Pinazos, 6 28021",Madrid,Madrid,,Comunidad de Madrid,,,,,40.3427663,-3.6903066,664 787 828,,,bancodeltiemposc@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:16:22
Banco de Tiempo Sant Adrià,,Asamblea,Banco de tiempo - Comunitario,Carrer Orella nº2,,Carrer Orella nº2 ,08930,Carrer Orella nº2 08930,Sant Adrià de Besòs,Barcelona,Barri Casc Antic de Sant Adrià de Besòs,Cataluña,Casc Antic de Sant Adrià de Besòs,,,Barrio,41.434392,2.2140899,671629387,,,bdt.santadria@gmail.com,,http://santadria.bdtonline.org/,,2013,,,,,,,,,,,,,2013-09-10 09:47:55
Banco de Tiempo Sendotu,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Bailén Kalea, 5",,"C/ Bailén Kalea, 5 ",48003,"C/ Bailén Kalea, 5 48003",Bilbao,Vizcaya,,País Vasco,,,,,43.2590324,-2.9271418,944 160 420,,,bancotiemposendotu@sartu.org,,,,,,,,,,,,,,,,,2013-06-07 20:17:01
Banco de Tiempo Sofisma,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Virgen del Rosario, 7",,"C/ Virgen del Rosario, 7 ",35600,"C/ Virgen del Rosario, 7 35600",Puerto Del Rosario,Las Palmas,,Canarias,,,,,28.4982423,-13.8592781,622 585 771,,,sofismacanarias@hotmail.com,,,,,,,,,,,,,,,,,2013-06-07 20:18:52
Banco de Tiempo Sugus - Universidad de Sevilla,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Sevilla,Sevilla,,Andalucía,,,,,37.3880961,-5.9823299,,,,,,,,,,,,,,,,,,,,,2013-06-07 20:16:28
